"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,Follows,"Link clicks","Sticker taps"
17991239957719981,17841400849550874,microsoftlearn,"Microsoft Learn","Stories from builders around the world. Always love seeing how developers turn ideas into impact.",0,"10/28/2025 16:31",https://www.instagram.com/stories/microsoftlearn/3753686417697230499,"IG story",,Lifetime,1169,1073,11,0,2,0,1094,,
18083640379994917,17841400849550874,microsoftlearn,"Microsoft Learn","The Octocat is watching over every line of code.",0,"10/28/2025 16:32",https://www.instagram.com/stories/microsoftlearn/3753686898498696779,"IG story",,Lifetime,1174,1035,11,0,7,2,1089,,
18405376699140456,17841400849550874,microsoftlearn,"Microsoft Learn","GitHub Universe ‘25
is actually a playground
for devs",0,"10/29/2025 18:33",https://www.instagram.com/stories/microsoftlearn/3754472226515704521,"IG story",,Lifetime,2491,2052,37,0,16,1,2145,3,
17927539773136397,17841400849550874,microsoftlearn,"Microsoft Learn","Open Source
energy only.",0,"10/29/2025 18:33",https://www.instagram.com/stories/microsoftlearn/3754472473946067165,"IG story",,Lifetime,1933,1645,22,0,2,0,1766,,
18081461960019848,17841400849550874,microsoftlearn,"Microsoft Learn","hacking badges &
making friends",0,"10/29/2025 18:34",https://www.instagram.com/stories/microsoftlearn/3754472802863396589,"IG story",,Lifetime,1752,1532,23,0,2,0,1593,,
18151674739411867,17841400849550874,microsoftlearn,"Microsoft Learn","wonder what this could be?",0,"10/29/2025 18:34",https://www.instagram.com/stories/microsoftlearn/3754472944991583348,"IG story",,Lifetime,1641,1437,17,0,,0,1508,,
18555487951016332,17841400849550874,microsoftlearn,"Microsoft Learn","engineers making their own LED!!",0,"10/29/2025 18:35",https://www.instagram.com/stories/microsoftlearn/3754473278673616064,"IG story",,Lifetime,1580,1397,20,0,1,0,1456,,
17887363629377784,17841400849550874,microsoftlearn,"Microsoft Learn","tasty treats for web devs (literally)",0,"10/29/2025 18:35",https://www.instagram.com/stories/microsoftlearn/3754473522589160492,"IG story",,Lifetime,1530,1354,20,0,1,1,1405,,
17996975390832457,17841400849550874,microsoftlearn,"Microsoft Learn","mission control looks unreal…

GitHub Universe ‘25",0,"10/29/2025 18:36",https://www.instagram.com/stories/microsoftlearn/3754473816677009216,"IG story",,Lifetime,1535,1284,22,15,5,1,1390,,
18085840477778073,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"10/31/2025 07:22",https://www.instagram.com/stories/microsoftlearn/3755584204512799652,"IG story",,Lifetime,2557,2165,14,0,12,1,2229,,
17843499540607992,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"10/31/2025 07:22",https://www.instagram.com/stories/microsoftlearn/3755584240457961949,"IG story",,Lifetime,2090,1698,13,0,19,0,1905,,
17852381316573666,17841400849550874,microsoftlearn,"Microsoft Learn",,7,"11/04/2025 06:29",https://www.instagram.com/stories/microsoftlearn/3758486933891528090,"IG story",,Lifetime,2440,2022,33,1,26,0,2102,1,
18066302261431769,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/04/2025 13:33",https://www.instagram.com/stories/microsoftlearn/3758700260521576074,"IG story",,Lifetime,1893,1599,20,0,7,0,1714,1,
18078606412964854,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"09/16/2025 12:35",https://www.instagram.com/stories/microsoftlearn/3723126863029249476,"IG story",,Lifetime,3655,2350,36,19,33,3,2873,3,
