social_network,outbound_post,status,account,account_type,author_name,campaign_name,permalink,scheduledtime,publishedtime,tags,published_date,day_of_week,time_of_day,events_outbound_message,media_format_outbound_message,related_product_outbound_message,msft_learn_product_program_outbound_message,c_641deea526668532c520df4c,msft_learn_content_owner_outbound_message,msft_learn_primary_audience_outbound_message,primary_objective_outbound_message,media_type,permalink_1,account_1,msft_learn_approvers_outbound_message,msft_learn_pillar_outbound_message,msft_learn_cta_outbound_message,gdc_impressions_sum,gdc_total_engagements_sum,post_likes_and_reactions_sum,post_comments_sum,post_shares_sum,estimated_clicks_sum,gdc_total_engagement_views_sum,count_of_positive_comments_sum,count_of_neutral_comments_sum,count_of_negative_comments_sum,followers_at_post_time_sum,instagram_business_post_impressions_sum,x_poll_votes_sum,stories_alcance,stories_visitas_perfil,stories_navegacao,ER,ER w/o swipes,Week
Threads,"We love seeing the developer expert community share how they build 👏
MVPs Jonah Andersson and Håkan Silfvernagel walk through using the Microsoft Learn MCP Server so AI agents can quickly pull best practices from Learn docs as you code.
https://youtu.be/8HCuV82huEw?t=920",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWrJ7B9Ftww,2026-04-03 11:19:25,2026-04-03 11:19:25,,04-03-2026 11:19,Friday,11:00,, , ,Other, ,MSFT Learn | Microsoft created,Developer,,Link,https://www.threads.com/@microsoftlearn/post/DWrJ7B9Ftww,microsoftlearn,,Informational,Microsoft Learn,323,23,19,3,1,0,23,1,2,0,14407,0,,,,,7.12,7.12,202604-W1
TikTok,"Work IQ is the layer that makes AI feel personal. It understands your workflow, your intent, and your why.",SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | AON (Universal),https://www.tiktok.com/@microsoftlearn/video/7632371622900452622,2026-04-24 13:00:00,2026-04-24 13:00:00,,04-24-2026 13:00,Friday,13:00,, , ,Copilot, ,MSFT Learn | Microsoft created,General,,Video,https://www.tiktok.com/@microsoftlearn/video/7632371622900452622,Microsoft Learn,,Micro-skilling,,348,21,16,4,1,0,369,3,1,0,9971,0,,,,,6.03,6.03,202604-W4
Threads,"Take a quick detour from doomscrolling:
Go learn a new skill!
https://aiskillsnavigator.microsoft.com/",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWy9xM3EeIH,2026-04-06 12:07:08,2026-04-06 12:07:30,,04-06-2026 12:07,Monday,12:00,, , ,AI Skills Navigator (AISN), ,MSFT Learn | Agency (Dojo) created,General,,Link,https://www.threads.com/@microsoftlearn/post/DWy9xM3EeIH,microsoftlearn,,Conversation,ASN,395,8,7,1,0,24,8,0,1,0,14573,0,,,,,2.03,2.03,202604-W1
Threads,"Having a ""let's take a study break"" friend is a universal experience.",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXuEpJClJp1,2026-04-29 11:02:23,2026-04-29 11:02:43,,04-29-2026 11:02,Wednesday,11:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DXuEpJClJp1,microsoftlearn,,Conversation,,407,15,11,4,0,0,15,0,4,0,15412,0,,,,,3.69,3.69,202604-W5
TikTok,Thinking about learning AI but unsure where to start?  Kim asks Nia one simple question. Her response cuts through the overwhelm with a surprisingly practical way to begin. Press play 👆,SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | OBO (Universal),https://www.tiktok.com/@microsoftlearn/video/7632495241194507534,2026-04-24 21:00:01,2026-04-24 21:00:01,,04-24-2026 21:00,Friday,21:00,, , ,AI Skills Navigator (AISN), ,MSFT Learn | Microsoft created,General,,Video,https://www.tiktok.com/@microsoftlearn/video/7632495241194507534,Microsoft Learn,,Brand,ASN,422,32,26,6,0,0,454,1,5,0,9972,0,,,,,7.58,7.58,202604-W4
Threads,"Let’s level up your Azure skills this week. If your level is:
• Beginner: Create an AI agent → Microsoft Applied Skills: Create an AI agent
• Intermediate: Build a generative AI chat app → Microsoft Applied Skills: Build a generative AI chat app
• Advanced: Develop generative AI apps with Azure OpenAI and SK → Microsoft Applied Skills: Develop generative AI apps with Azure OpenAI and Semantic Kernel",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DW9XABGDYsK,2026-04-10 13:00:00,2026-04-10 13:00:06,,04-10-2026 13:00,Friday,13:00,, , ,Microsoft Applied Skills, ,MSFT Learn | Agency (Dojo) created,Developer,,Text,https://www.threads.com/@microsoftlearn/post/DW9XABGDYsK,microsoftlearn,,Informational,,452,12,10,0,2,0,12,0,0,0,14794,0,,,,,2.65,2.65,202604-W2
TikTok,"If it works, it's a study method.",SENT,Microsoft Learn,TIKTOK_BUSINESS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.tiktok.com/@microsoftlearn/video/7629774756887153950,2026-04-17 13:03:07,2026-04-17 13:03:07,,04-17-2026 13:03,Friday,13:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,NextGen,,Video,https://www.tiktok.com/@microsoftlearn/video/7629774756887153950,Microsoft Learn,,Conversation,,463,25,16,6,3,0,488,3,3,0,9945,0,,,,,5.4,5.4,202604-W3
X,"So that's why we're seeing a 2am spike, makes total sense now!",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/2040090769600520689,2026-04-03 11:35:17,2026-04-03 11:35:17,,04-03-2026 11:35,Friday,11:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/2040090769600520689,Microsoft Learn,,,,471,7,5,1,0,0,7,0,1,0,483866,0,,,,,1.49,1.49,202604-W1
Threads,"The 5 generative AI models every leader should know:
1. Large Language Models (LLMs) = generate and understand natural language text
2. Code Models = specialized in programming languages and code generation
3. Diffusion Models = generate images from text prompts
4. Multimodal Models = handle multiple input types across text, images, and audio
5. Domain‑Specific Models = fine-tuned for specific industries or tasks",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXIaPpEjb0c,2026-04-14 20:00:00,2026-04-14 20:00:23,,04-14-2026 20:00,Tuesday,20:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,Decision Maker/Executive,,Text,https://www.threads.com/@microsoftlearn/post/DXIaPpEjb0c,microsoftlearn,,Educational,,565,14,12,0,2,0,14,0,0,0,15104,0,,,,,2.48,2.48,202604-W2
Threads,"Give us your take:
What’s a human skill AI can amplify, but never replace?

We’ll be spotlighting top comments during an upcoming Microsoft Learn event 💻",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DW2VSiniYgO,2026-04-07 19:30:23,2026-04-07 19:30:23,,04-07-2026 19:30,Tuesday,19:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,General,,Text,https://www.threads.com/@microsoftlearn/post/DW2VSiniYgO,microsoftlearn,,Conversation,,592,15,13,2,0,0,15,0,2,0,14628,0,,,,,2.53,2.53,202604-W1
